Game,like,date,comment,good
GTA5,1,2016-11-24,초딩때부터 GTA시리즈를 플레이 해왔지만 저는 비폭력적이고 차분한 어른으로 성장했습니다 폭력적 게임이 폭력성을 부르는 건 아니라고 생각합니다 그러니 이 글을 보시는 어린이 여러분들은 부모님을 졸라 GTA 를 구매하시기 바랍니다 ,92
GTA5,1,2019-12-29,이 게임은 지우면 하고 싶고 깔면 할거 없는 게임임 ,408
GTA5,1,2020-12-15, 년전에 나온 GTA 가 또 이겼습니다 ,199
GTA5,1,2022-12-27,지우면 하고 싶고 하면 지우고 싶은 게임,174
GTA5,0,2019-07-23,지금까지 마약거래에다가 은행털이같은 미션 다 해왔는데 굳이 카지노를 막음 ,426
GTA5,1,2019-07-25,도박 없는 도박장,185
GTA5,1,2022-01-09,지웠을땐 하고싶고 막상 다시깔아서 하면 할거 없음 ,117
GTA5,1,2018-06-20,게임 플레이시간 게임 로딩시간,338
GTA5,1,2020-12-15,윈도우 넘어오면서 다시 그타 끄고나면 윈도우 영문키로 되는 거 빡치는 사람을 위한 팁 윈도우키 설정 톱니모양 아이콘 시간 및 언어 언어 탭 오른쪽에 아이콘 개 중 번쨰 키보드 맨 위에 언어 목록 사용 권장 을 한국어 Microsoft 입력기 로 선택 한 뒤 아래 입력 방법 전환 에서 각 앱 창에 다른 입력 방법을 직접 사용 에 체크 하면 됨 그럼 ,392
GTA5,1,2019-04-24,linxiao GTAV linxiao fsdafsaf com linxiao linxiao 님이 떠났습니다 ,405
GTA5,1,2015-08-31,남들이 즐길때 사서 즐기자 싱글만 본다면 가격이 바닥을 쳤을때 사는것도 좋겠지만 이 게임의 매력은 단연코 온라인에 있다고 봐도 과언이 아니라고 생각되므로 온라인을 충분히 즐기기 위해선 초창기 사람들이 많이 즐길때 구매해서 같이 즐기는것을 추천한다 좋았던 점 싱글 그래픽 내 PC 사양에 좌절하며 업그레이드를 고민하게 만든 게임 케릭터 인 색의 케릭터 특히 미친 케릭 트레버 그리고 그의 목 문신 Cut Here 스토리 인 색의 스토리가 인상적이었다 물론 명을 아무때고 넘나드는 왔다갔다 시스템 덕분에 정신없는 부분과 몰입도 방해가 있는것도 같다 치트 오 매틱 주식이나 노가다로 돈벌기가 너무 싫었던 나에겐 단비같은 존재였다 거리의 언니들 삐리리한 게임은 삐리리 하게 즐겨라 싫었던 점 싱글 각종 버그 에러 오픈부터 실행이 되지 않아 말이 많았고 이후로도 말로 다 할수 없고 지금도 알수없는 에러에 실행도 못하고 있는 유저들도 있다 그래픽 출시 당시 기준으로 높은 사양과 그래픽 메모리 미치도록 긴 로딩 잦은 에러 프레임 하락 알 수 없는 강제 종료 등등 싱글 세이브 파일 클라우드 미지원 최근 게임이라 당연히 지원하는줄 알고 있다가 PC 포맷후 멘탈 날아간 사람들이 있다 이후 락스타 소셜클럽에서 세이브 파일 클라우드를 지원해주고 있다 좋았던 점 온라인 그래픽 싱글에서의 훌륭한 그래픽 느낌을 그대로 온라인에서도 볼 수 있다 연락책 임무 처음 할때는 종류도 많고 협동 모드에 마치 미니 습격 같은 느낌이라 재미있다 반면 랩업을 위해 무한 반복시에는 지루하다 습격 말이 필요없다 이 게임의 온라인 핵심 컨텐츠이며 MMORPG에서 인던 레이드를 하듯이 명 풀파티의 협동 레이드를 경험해보라 주의 공방으로 혼자 돌면 멘탈이 심히 깨질수 있으니 같은 언어를 쓰는 한국어 유저들과 즐기기를 추천한다 세상은 절대 내 마음같지 않다 점프대 레어 자동차 수집 개의 점프대를 찾아다니고 레어 자동차를 찾아다니면서 이 게임의 또 다른 재미를 느꼈다 추천한다 사람들 온라인 게임에서 최고로 중요한 부분이다 이 게임이 연결고리가 되어 알게된 사람들도 많고 스팀 친구들과도 그전에는 없었던 많은 교류가 생겨서 좋았다 싫었던 점 온라인 소셜 클럽과 서버 네트워크 주말이면 잦은 서버 튕김현상 무지막지하게 긴 로딩 채팅이 안되고 안보이는 버그 네트워크나 서버 그리고 소셜클럽은 아직까지는 좋다고 얘기할 수 없겠다 해커 각종 모드나 핵이 난무하는 게임은 맞지만 싱글이 아닌 온라인에서도 심하게 구는 해커들과 좀 더 강력한 제재를 하지 않는 락스타 양쪽 다 유감이다 소감을 마치며 GTA 온라인은 이번 편이 나에게는 첫경험이었다 주로 이전작들까지는 싱글만 접했다 최초 산 안드레아스를 해보면서 내가 좋아하는 게임이 오픈월드 인칭 액션 어드벤쳐구나 라는 생각을 했고 그 뒤로 약을 빤것같은 락스타 게임의 매력에 팬이 되었다 개인적으로 이번 편의 핵심은 싱글 보다는 온라인 그리고 습격인것 같다 사실 개인 환경상 온라인 MMORPG 을 멀리하기 위해 택했던 스팀인데 꾸역 꾸역 다시 온라인을 하게 하고 사람들과 음성챗을 하며 떠들다 밤이 깊어지고 잠이 부족해 회사에서 졸기도 했던 꽤 오랜만에 다시 느낀 온라인의 즐거움이었다 역시 최고의 재미는 같이하는거 그 중에서도 나에겐 멀티 PvP 가 아닌 협동 Co op 이라고 생각된다 싱글 만으로는 나올수 없을것 같은 시간 이상의 플레이 타임 이것만으로도 본전 생각이 없기에 나는 이 게임을 추천한다 ,614
GTA5,1,2017-08-02,게임 로딩시간때 마다 틈틈히 팔굽혀펴기를 한 결과 개월만에 몸짱이 되었습니다 저의 멸치 탈출을 도와준 갓 겜 추천합니다 ps 턱걸이 기구가 집에 있다면 좀 더 효과적으로 몸을 키울 수 있을듯 합니다 본격적으로 gta 온라인을 즐기고 싶으신 분들은 참고 바랍니다 ,732
GTA5,1,2019-07-31, 언제나오노,138
GTA5,0,2019-01-06,싱글만 하자,251
GTA5,1,2018-07-06,락스타소셜로 대충 계산해보니 플탐중 대략 시간이 로딩하는데 걸렸다는걸 확인할수있었다 ,228
GTA5,1,2017-12-29,온라인으로 들어갈려고 할때 로딩이 너무 오래걸립니다,109
GTA5,1,2020-12-12,사이버펑크 하기전에 잠깐 시간떼우기로 하려 했었는데 죄송합니다 락스타님 제가 경솔했습니다 위대한 락스타여,139
GTA5,1,2020-09-08,멍청한 초딩들과 덜 자라서 겉만 성인인 덜떨어진 놈들의 지식수준을 엿볼 수 있는 채팅창을 소유한 게임이네요 이 게임을 통해 이런 사람이 되지 말아야겠다는 교훈을 얻게 됩니다 ,138
GTA5,1,2022-07-17, 너 이게 무슨 뜻이야 너는 지난번에 천안문도 잊지 않고 민주주의도 반드시 되찾겠다고 말했잖아 그럼 홍콩 시위를 응원한다고 말했던건 뭐야 위구르인들의 독립에 찬성한다니 환영이야시진핑의 독재에 반대한다는 내용의 한글로 쓴 연설 잘 들었어 이제는 행동으로 옮길 때야 천안문 관련 활동은 잘 되어가고 있어 당국에 걸리지 않도록 조심해 일이 끝나면 핸드폰은 파기하도록 해,171
